,Ticker,Report Date,Fiscal Year,Fiscal Period,Shares (Basic),Revenue,Net Income,Gross Profit Margin,Net Profit Margin,Operating Margin,EPS,Interest Coverage Ratio,"Cash, Cash Equivalents & Short Term Investments",Total Assets,Total Equity,Quick Ratio,Current Ratio,Debt-to-Equity Ratio,Long Term Debt-to-Equity Ratio,Short Term Debt-to-Equity Ratio,ROE,LUv Price,PE Ratio,PS Ratio,PB Ratio
2018-08-01,LUV,2018-06-30,2018,Q2,578000000.0,5742000000.0,733000000,0.34743991640543365,0.1276558690351794,0.16927899686520376,1.268166089965398,-54.0,3686000000.0,26465000000,9997000000.0,0.6413945049248315,0.7008812856402281,0.35210563168950687,0.31559467840352107,0.036510953285985796,0.0733219965989797,56.53,44.57618008185539,5.690411006617903,3.2684145243573073
2018-10-30,LUV,2018-09-30,2018,Q3,569000000.0,5575000000.0,615000000,0.3296860986547085,0.11031390134529148,0.1431390134529148,1.0808435852372584,-61.38461538461539,3820000000.0,26882000000,10153000000.0,0.6525564197373454,0.7141399974499554,0.339407071801438,0.30532847434255883,0.03407859745887915,0.06057322958731409,49.14,45.46448780487805,5.015365022421524,2.75393085787452
2019-02-05,LUV,2018-12-31,2018,Q4,558000000.0,5704000000.0,654000000,0.3345021037868163,0.11465638148667602,0.14375876577840113,1.1720430107526882,-74.54545454545455,3689000000.0,26243000000,9853000000.0,0.5777356103731816,0.6360531309297913,0.34273825230894145,0.2812341418857201,0.061504110423221355,0.06637572313001117,57.955,49.44784403669724,5.669510869565217,3.28213640515579
2019-04-30,LUV,2019-03-31,2019,Q1,551000000.0,5149000000.0,387000000,0.297533501650806,0.07516022528646339,0.09807729656243931,0.7023593466424682,-63.125,3861000000.0,26459000000,9791000000.0,0.5730826550498682,0.628568153158317,0.32407312838320906,0.26575426412011033,0.05831886426309876,0.039526095393728936,54.22,77.19695090439276,5.802140221402214,3.0512940455520376
2019-07-30,LUV,2019-06-30,2019,Q2,542000000.0,5909000000.0,741000000,0.3448976138094432,0.12540192926045016,0.16381790489084447,1.367158671586716,-138.28571428571428,3986000000.0,26374000000,9940000000.0,0.585762396934154,0.6449889675995819,0.31217303822937625,0.24637826961770623,0.06579476861167002,0.07454728370221328,52.56,38.4446963562753,4.821039092909122,2.8659476861167
2019-11-08,LUV,2019-09-30,2019,Q3,533000000.0,5639000000.0,659000000,0.3349884731335343,0.11686469232133356,0.1452385174676361,1.2363977485928705,-117.0,4016000000.0,26467000000,9931000000.0,0.5935797890833237,0.6547688028740294,0.30560870003020846,0.24146611620179237,0.06414258382841607,0.06635786929815729,58.17,47.04796661608498,5.498246142933144,3.1220028194542344
2020-02-04,LUV,2019-12-31,2019,Q4,526000000.0,5731000000.0,513000000,0.3041354039434654,0.08951317396614901,0.11603559588204501,0.9752851711026616,-110.83333333333333,4072000000.0,25895000000,9832000000.0,0.6082439678284183,0.66733690795353,0.27105370219690805,0.18775427176566314,0.08329943043124491,0.05217656631407649,55.69,57.10124756335283,5.111313906822544,2.979347030105777
2020-04-28,LUV,2020-03-31,2020,Q1,515000000.0,4234000000.0,-94000000,0.21232876712328766,-0.022201228153046763,-0.025980160604629193,-0.1825242718446602,10.0,5545000000.0,26885000000,9075000000.0,0.6356801093643198,0.6862611073137389,0.5601101928374655,0.25212121212121213,0.30798898071625347,-0.010358126721763086,29.72,-162.82765957446807,3.6149740198393956,1.6865895316804407
2021-04-21,LUV,2021-03-30,2021,Q1,591000000.0,2052000000.0,116000000,0.5346003898635477,0.056530214424951264,0.09697855750487329,0.19627749576988154,1.7456140350877194,11971000000.0,19393000000,9093000000.0,0.05475433859844048,0.054754338792471276,1.4060266138788078,1.3491696909710766,0.05685692290773122,0.012757065874848785,62.04,316.0831034482759,17.86824561403509,4.032292972616299
2021-01-27,LUV,2020-12-30,2020,Q4,590273067.0,2013000000.0,-908000000,0.5961251862891207,-0.45106805762543467,-0.5802285146547441,-1.5382710998738487,-10.24561403508772,11063000000.0,19415000000,8876000000.0,0.05515587499672796,0.05515587529976019,1.374380351509689,1.3151194231635872,0.059260928346101846,-0.10229833258224426,44.24,-28.759560004493395,12.972518869388972,2.9420550342586753
2020-10-22,LUV,2020-09-29,2020,Q3,590000000.0,1793000000.0,-1157000000,0.5136642498605689,-0.645287228109314,-0.7869492470719465,-1.9610169491525424,-12.711711711711711,12109000000.0,19472000000,9769000000.0,0.054587390745002566,0.05458739108149667,1.2892824239942675,1.1832326747875934,0.10604974920667418,-0.11843586856382435,41.93,-21.381763180639584,13.797378694924706,2.5323676937250488
2020-07-23,LUV,2020-06-29,2020,Q2,563000000.0,1008000000.0,-915000000,0.3333333333333333,-0.9077380952380952,-1.1180555555555556,-1.625222024866785,-11.739583333333334,12351000000.0,19724000000,10878000000.0,0.04508065349567995,0.04508065377630595,1.0500091928663358,0.9552307409450267,0.09477845192130907,-0.08411472697186984,32.8,-20.181857923497265,18.31984126984127,1.6975914690200404
