time,close
2012-09-21,9.07
2012-09-24,9.12
2012-09-25,8.395
2012-09-26,9.16
2012-09-27,8.591
2012-09-28,8.526
2012-10-01,9.46
2012-10-02,9.093
2012-10-03,10.17
2012-10-04,10.14
2012-10-05,10.27
2012-10-08,9.429
2012-10-09,9.205
2012-10-10,9.84
2012-10-11,9.075
2012-10-12,10.03
2012-10-15,9.41
2012-10-16,10.0
2012-10-17,10.19
2012-10-18,9.503
2012-10-19,10.01
2012-10-22,10.1345
2012-10-23,10.17
2012-10-24,9.345
2012-10-25,8.972
2012-10-26,8.972
2012-10-31,9.62
2012-11-01,9.71
2012-11-02,9.028
2012-11-05,9.77
2012-11-06,10.03
2012-11-07,9.252
2012-11-08,10.29
2012-11-09,10.2
2012-11-12,10.3
2012-11-13,9.503
2012-11-14,9.56
2012-11-15,8.833
2012-11-16,8.684
2012-11-19,8.889
2012-11-20,9.01
2012-11-21,9.047
2012-11-23,9.159
2012-11-26,9.81
2012-11-27,9.825
2012-11-28,10.0
2012-11-29,9.354
2012-11-30,10.0
2012-12-03,8.954
2012-12-04,9.72
2012-12-05,9.038
2012-12-06,10.03
2012-12-07,10.11
2012-12-10,10.15
2012-12-11,10.67
2012-12-12,10.71
2012-12-13,10.508
2012-12-14,11.215
2012-12-17,10.452
2012-12-18,10.732
2012-12-19,11.011
2012-12-20,11.113
2012-12-21,11.87
2012-12-24,11.78
2012-12-26,11.66
2012-12-27,10.769
2012-12-28,10.704
2012-12-31,11.88
2013-01-02,11.383
2013-01-03,12.58
2013-01-04,12.97
2013-01-07,13.0
2013-01-08,12.081
2013-01-09,13.11
2013-01-10,13.309
2013-01-11,13.34
2013-01-14,13.45
2013-01-15,13.64
2013-01-16,13.93
2013-01-17,13.84
2013-01-18,12.668
2013-01-22,14.0
2013-01-23,13.79
2013-01-24,12.965
2013-01-25,13.189
2013-01-28,13.94
2013-01-29,12.733
2013-01-30,13.83
2013-01-31,13.89
2013-02-01,13.81
2013-02-04,13.86
2013-02-05,13.93
2013-02-06,13.468
2013-02-07,14.86
2013-02-08,14.61
2013-02-11,14.69
2013-02-12,14.51
2013-02-13,14.77
2013-02-14,14.25
2013-02-15,13.449
2013-02-19,14.29
2013-02-20,13.81
2013-02-21,12.621
2013-02-22,12.798
2013-02-25,14.04
2013-02-26,13.91
2013-02-27,14.27
2013-02-28,14.27
2013-03-01,14.82
2013-03-04,15.66
2013-03-05,15.85
2013-03-06,15.66
2013-03-07,15.9
2013-03-08,16.25
2013-03-11,16.24
2013-03-12,14.92
2013-03-13,15.227
2013-03-14,15.153
2013-03-15,16.01
2013-03-18,15.143
2013-03-19,16.53
2013-03-20,17.06
2013-03-21,16.85
2013-03-22,16.7
2013-03-25,16.31
2013-03-26,16.56
2013-03-27,16.59
2013-03-28,16.51
2013-04-01,15.125
2013-04-02,14.95
2013-04-03,14.55
2013-04-04,14.75
2013-04-05,13.394
2013-04-08,13.896
2013-04-09,13.775
2013-04-10,15.265
2013-04-11,14.473
2013-04-12,15.48
2013-04-15,14.9
2013-04-16,14.771
2013-04-17,15.52
2013-04-18,15.15
2013-04-19,14.203
2013-04-22,14.092
2013-04-23,16.72
2013-04-24,15.329
2013-04-25,15.162
2013-04-26,15.646
2013-04-29,16.96
2013-04-30,15.953
2013-05-01,16.85
2013-05-02,16.279
2013-05-03,17.97
2013-05-06,18.05
2013-05-07,18.07
2013-05-08,18.66
2013-05-09,16.474
2013-05-10,16.875
2013-05-13,17.9
2013-05-14,16.986
2013-05-15,17.647
2013-05-16,17.349
2013-05-17,18.53
2013-05-20,18.37
2013-05-21,18.12
2013-05-22,18.18
2013-05-23,17.21
2013-05-24,18.92
2013-05-28,18.7399
2013-05-29,18.08
2013-05-30,18.09
2013-05-31,18.02
2013-06-03,17.81
2013-06-04,16.837
2013-06-05,16.344
2013-06-06,17.48
2013-06-07,17.107
2013-06-10,18.58
2013-06-11,18.52
2013-06-12,16.819
2013-06-13,18.71
2013-06-14,17.545
2013-06-17,17.517
2013-06-18,18.96
2013-06-19,18.69
2013-06-20,18.4
2013-06-21,18.29
2013-06-24,17.36
2013-06-25,18.15
2013-06-26,18.42
2013-06-27,18.695
2013-06-28,17.414
2013-07-01,19.37
2013-07-02,19.0
2013-07-03,18.42
2013-07-05,18.99
2013-07-08,17.712
2013-07-09,17.991
2013-07-10,17.405
2013-07-11,17.554
2013-07-12,19.29
2013-07-15,18.094
2013-07-16,19.27
2013-07-17,19.918
2013-07-18,20.57
2013-07-19,20.28
2013-07-22,20.38
2013-07-23,19.034
2013-07-24,20.81
2013-07-25,19.993
2013-07-26,21.91
2013-07-29,19.844
2013-07-30,21.195
2013-07-31,19.76
2013-08-01,22.05
2013-08-02,21.95
2013-08-05,21.71
2013-08-06,20.97
2013-08-07,19.583
2013-08-08,19.658
2013-08-09,20.58
2013-08-12,19.639
2013-08-13,19.55
2013-08-14,19.035
2013-08-15,19.52
2013-08-16,19.82
2013-08-19,17.856
2013-08-20,17.912
2013-08-21,18.258
2013-08-22,20.25
2013-08-23,18.78
2013-08-26,20.28
2013-08-27,19.115
2013-08-28,19.12
2013-08-29,19.64
2013-08-30,19.72
2013-09-03,19.84
2013-09-04,20.3
2013-09-05,18.902
2013-09-06,18.566
2013-09-09,21.74
2013-09-10,22.68
2013-09-11,22.42
2013-09-12,20.69
2013-09-13,20.97
2013-09-16,23.15
2013-09-17,23.31
2013-09-18,23.3
2013-09-19,21.89
2013-09-20,23.31
2013-09-23,21.77
2013-09-24,23.76
2013-09-25,23.81
2013-09-26,22.41
2013-09-27,23.57
2013-09-30,23.58
2013-10-01,22.6
2013-10-02,22.64
2013-10-03,24.54
2013-10-04,23.51
2013-10-07,24.84
2013-10-08,24.24
2013-10-09,24.25
2013-10-10,24.5
2013-10-11,24.395
2013-10-14,24.1
2013-10-15,22.42
2013-10-16,24.41
2013-10-17,24.79
2013-10-18,25.02
2013-10-21,24.68
2013-10-22,23.79
2013-10-23,25.62
2013-10-24,26.32
2013-10-25,26.3
2013-10-28,26.14
2013-10-29,26.36
2013-10-30,24.72
2013-10-31,24.62
2013-11-01,24.92
2013-11-04,25.67
2013-11-05,25.69
2013-11-06,26.88
2013-11-07,26.69
2013-11-08,25.16
2013-11-11,25.7
2013-11-12,28.13
2013-11-13,27.785
2013-11-14,27.93
2013-11-15,28.11
2013-11-18,26.31
2013-11-19,26.05
2013-11-20,25.92
2013-11-21,28.04
2013-11-22,26.76
2013-11-25,29.17
2013-11-26,29.03
2013-11-27,29.33
2013-11-29,28.97
2013-12-02,29.01
2013-12-03,28.06
2013-12-04,27.61
2013-12-05,27.92
2013-12-06,28.24
2013-12-09,27.02
2013-12-10,28.77
2013-12-11,25.88
2013-12-12,26.39
2013-12-13,26.54
2013-12-16,27.91
2013-12-17,26.93
2013-12-18,27.115
2013-12-19,27.51
2013-12-20,25.77
2013-12-23,27.58
2013-12-24,27.83
2013-12-26,27.88
2013-12-27,25.29
2013-12-30,27.18
2013-12-31,27.48
2014-01-13,30.92
2014-01-14,32.0
2014-01-15,31.49
2014-01-16,31.58
2014-01-17,31.09
2014-01-21,32.1
2014-01-22,32.8599
2014-01-23,30.4
2014-01-24,29.1
2014-01-27,30.58
2014-01-28,30.895
2014-01-29,29.92
2014-01-30,28.61
2014-01-31,28.64
2014-02-03,27.49
2014-02-04,29.93
2014-02-05,28.08
2014-02-06,30.89
2014-02-07,31.64
2014-02-10,31.2
2014-02-11,31.4
2014-02-12,31.12
2014-02-13,29.33
2014-02-14,31.35
2014-02-18,30.93
2014-02-19,28.65
2014-02-20,29.84
2014-02-21,29.77
2014-02-24,32.43
